tahun,bulan,suhu
2017,jan,27.25
2017,feb,27.21
2017,mar,27.49
2017,apr,27.45
2017,may,27.63
2017,jun,27.96
2017,jul,27.75
2017,aug,27.44
2017,sep,27.48
2017,oct,27.51
2017,nov,27.02
2017,dec,27.5
2018,jan,26.23
2018,feb,27.32
2018,mar,28
2018,apr,28.33
2018,may,27.97
2018,jun,27.77
2018,jul,27.97
2018,aug,27.92
2018,sep,27.33
2018,oct,27.6
2018,nov,27.02
2018,dec,27.29
2019,jan,27.9
2019,feb,28.2
2019,mar,28.6
2019,apr,28.3
2019,may,28.1
2019,jun,27.6
2019,jul,28.3
2019,aug,28.7
2019,sep,28.4
2019,oct,27.3
2019,nov,27.8
2019,dec,26.9
2020,jan,27.9
2020,feb,28.1
2020,mar,28.8
2020,apr,29
2020,may,28.6
2020,jun,27.5
2020,jul,27.5
2020,aug,27.8
2020,sep,26.9
2020,oct,27.5
2020,nov,27.1
2020,dec,27.2
2021,jan,26.1
2021,feb,26.4
2021,mar,28
2021,apr,27.8
2021,may,28.1
2021,jun,27.9
2021,jul,28.1
2021,aug,27
2021,sep,27.7
2021,oct,28.1
2021,nov,27.3
2021,dec,27.6
2022,jan,27.5
2022,feb,27.2
2022,mar,28.1
2022,apr,27.8
2022,may,28.8
2022,jun,27.1
2022,jul,28.2
2022,aug,27.2
2022,sep,27.1
2022,oct,27.2
2022,nov,27
2022,dec,26.8
